0,4165.400,4079.866,4066.500,4074.817,2582.667
1,4092.134,4045.467,4082.733,4103.441,2582.667
2,4131.400,4056.134,4092.350,4076.517,2582.667
3,3972.000,4112.000,4041.333,4065.233,2582.667
4,4141.000,4078.566,4115.183,4069.733,2582.667
5,4164.066,4089.400,4103.500,4037.292,2582.667
6,4075.267,4070.733,4103.783,4059.450,2582.667
7,4088.533,4077.733,4097.483,4083.225,2582.667
8,4073.134,4060.233,4109.833,4090.208,2582.667
9,4195.533,4057.833,4083.800,4091.717,2582.667
10,3999.333,4061.967,4115.683,4093.642,2582.667
11,4051.333,4077.200,4076.733,4080.483,2582.667
12,4163.867,4010.900,4009.667,4111.467,2582.667
13,4126.000,4084.067,4091.067,4064.608,2582.667
14,4053.067,4077.000,4072.700,4060.708,2582.667
15,4120.600,4015.233,4131.050,4044.833,2582.667
16,4098.333,4076.134,4095.634,4058.975,2582.667
17,4064.333,4101.900,4114.000,4057.942,2582.667
18,4065.200,4114.066,4140.183,4076.000,2582.667
19,4079.600,4044.567,4063.100,4075.634,2582.667
20,4175.200,4158.100,4086.517,4040.158,2582.667
21,3998.733,4079.300,4064.333,4039.517,2582.667
22,4044.667,3987.366,4046.767,4027.275,2582.667
23,4083.200,3980.167,4086.267,4022.009,2582.667
24,4154.200,4074.667,4066.600,4066.925,2582.667
25,4070.533,4074.067,4048.183,4031.067,2582.667
26,4009.267,4016.600,3998.900,4023.908,2582.667
27,4068.267,4060.366,4036.217,4018.542,2582.667
28,4123.400,4071.000,4057.050,3988.741,2582.667
29,4195.667,4056.767,4056.100,3967.708,2582.667
30,4033.467,4016.400,4023.283,3938.116,2582.667
31,4015.267,3964.300,4023.450,3979.433,2582.667
32,4046.134,4041.566,3953.767,3942.025,2582.667
33,4084.200,3991.366,3968.250,3954.158,2582.667
34,4032.866,3956.533,3969.683,3932.592,2582.667
35,3976.533,4058.967,3990.133,3901.533,2582.667
36,3988.000,4011.366,3952.900,3901.491,2582.667
37,3972.733,3911.366,3948.267,3933.442,2582.667
38,3988.333,3936.467,3886.667,3877.142,2582.667
39,4002.933,3947.167,3930.366,3920.417,2582.667
40,3965.667,3900.400,3882.884,3877.300,2582.667
41,3949.067,3884.033,3857.616,3869.175,2582.667
42,4022.400,3886.800,3891.783,3885.717,2582.667
43,3858.267,3895.667,3819.600,3885.725,2582.667
44,3890.467,3869.333,3865.267,3872.308,2582.667
45,3928.200,3844.500,3822.083,3829.559,2582.667
46,3839.067,3867.567,3840.667,3834.366,2582.667
47,3901.533,3825.867,3822.400,3844.741,2582.667
48,3908.134,3858.366,3807.100,3842.725,2582.667
49,3837.933,3850.400,3846.500,3813.692,2582.667
50,3894.333,3797.333,3770.884,3827.608,2582.667
51,3845.533,3854.366,3800.983,3795.825,2582.667
52,3883.667,3741.400,3781.900,3817.558,2582.667
53,3825.067,3780.900,3769.150,3825.000,2582.667
54,3818.200,3765.933,3738.150,3814.308,2582.667
55,3728.600,3774.800,3761.417,3761.075,2582.667
56,3913.400,3778.767,3725.800,3800.792,2582.667
57,3722.200,3747.000,3747.017,3764.759,2582.667
58,3663.533,3689.033,3702.350,3798.616,2582.667
59,3726.800,3736.233,3701.667,3772.033,2582.667
60,3817.000,3601.200,3689.050,3767.142,2582.667
61,3698.866,3683.067,3674.583,3773.350,2582.667
62,3693.067,3684.900,3706.350,3777.358,2582.667
63,3692.800,3612.033,3695.783,3766.683,2582.667
64,3604.733,3635.000,3689.167,3752.767,2582.667
65,3690.667,3579.967,3647.317,3763.759,2582.667
66,3604.200,3592.366,3668.167,3772.833,2582.667
